project_id,sector,agency,state,original_cost,land_acquisition_issue,forest_clearance_issue,contractor_delay,burn_rate_6m,phys_burn_rate_6m,target_cost_overrun_pct,target_time_overrun_months
102035,Coal,Unknown Agency,Jharkhand,4011.85,1,0,0,610.5027794003677,9.637744700661276,38.39933983733917,29
102036,Coal,Unknown Agency,Jharkhand,339.87,1,0,1,52.292327388230774,9.112106011104526,70.04310543478533,37
102037,Coal,Unknown Agency,Jharkhand,230.41,1,0,0,39.40330550567353,4.847054367739575,36.61332153054707,33
102038,Coal,Unknown Agency,Jharkhand,222.82,0,0,0,14.903608967331365,7.91588319268439,1.7472716507498385,2
102039,Coal,Unknown Agency,Jharkhand,243.52,0,0,1,34.77639709637702,11.361494095144806,28.750136908697073,19
102040,Coal,Unknown Agency,Jharkhand,979.08,1,0,0,15.078104138691863,1.8764955809674544,29.328866449644313,33
102041,Coal,Unknown Agency,Jharkhand,414.37,0,0,0,16.488403360638927,11.08399522733734,3.6313052430494137,-1
102042,Coal,Unknown Agency,Jharkhand,5850.83,0,0,0,325.3972068495359,8.958425968734673,2.7488274615517723,1
102043,Coal,Unknown Agency,Jharkhand,5940.47,0,0,0,435.54437779151976,7.197941932663184,-0.9295856192223839,3
102044,Coal,Unknown Agency,Jharkhand,1354.2,0,0,0,80.56164767906193,11.4503962224938,2.0736393161694684,1
102045,Coal,Unknown Agency,Madhya Pradesh,869.44,0,0,0,69.35820208742052,15.087953126347465,1.435432581108612,3
102046,Coal,Unknown Agency,Madhya Pradesh,998.71,0,0,0,61.31847465815133,7.141440447461633,3.932159819564463,-1
102047,Coal,Unknown Agency,Madhya Pradesh,1729.68,1,0,0,133.69177545597427,7.717713660333107,18.966340649485964,35
102048,Coal,Unknown Agency,Madhya Pradesh,371.04,0,0,0,11.362808400071287,3.9074480206196114,4.429006664486403,0
102049,Coal,Unknown Agency,Madhya Pradesh,366.94,0,1,1,60.501325496859806,10.4136220117134,41.12749557074383,26
102050,Coal,Unknown Agency,Madhya Pradesh,314.09,0,0,1,52.441060978560714,11.88339628288195,27.71435494937112,22
102051,Coal,Unknown Agency,Madhya Pradesh,399.2,0,0,1,77.07100219478711,11.89033425687812,25.688100016210427,17
102052,Coal,Unknown Agency,Madhya Pradesh,220.62,1,0,0,28.96406057095217,6.059728605286672,23.710189178598544,28
102053,Coal,Unknown Agency,Madhya Pradesh,206.88,1,1,0,21.56911878079717,5.152960579092046,45.01559020168978,50
102054,Coal,Unknown Agency,Madhya Pradesh,166.25,0,0,0,30.161591671026315,12.826217126443652,3.886619476077432,0
102055,Coal,Unknown Agency,Madhya Pradesh,414.15,0,0,0,65.03038563562043,14.095139344281883,-0.813493947448308,1
102056,Coal,Unknown Agency,Madhya Pradesh,25560.48,1,0,0,1130.0088276177894,3.4791957546027756,34.60887607891705,18
102057,Coal,Unknown Agency,Madhya Pradesh,1604.69,0,0,0,293.6010599135228,13.30087402718818,2.023505997015109,1
102058,Coal,Unknown Agency,Maharashtra,580.61,0,1,0,82.5501567193797,9.310185322233743,11.38270471204411,25
102059,Coal,Unknown Agency,Maharashtra,727.28,1,0,0,110.12228192195516,16.480067811476168,34.39811628475295,33
102060,Coal,Unknown Agency,Maharashtra,822.88,0,0,0,107.13360129787236,16.423958504022778,3.759414865689835,1
102061,Coal,Unknown Agency,Maharashtra,711.01,0,0,0,116.73361274421092,13.371861899442749,3.920016583357434,3
102062,Coal,Unknown Agency,Maharashtra,228.64,1,0,1,32.070880397730235,8.760555662543858,50.13848756965717,37
102063,Coal,Unknown Agency,Maharashtra,319.04,0,0,1,25.93911790823836,7.7931122273435705,12.07576005556748,22
102064,Coal,Unknown Agency,Maharashtra,402.27,0,0,0,21.729018066807384,12.30555106800211,0.938890127148059,0
102065,Coal,Unknown Agency,Maharashtra,361.87,0,0,1,40.59216099703337,9.60652894213986,8.858629989211394,23
102066,Coal,Unknown Agency,Maharashtra,335.75,0,0,0,45.43972674442958,10.75528090529351,-0.1009668425658452,0
102067,Coal,Unknown Agency,Maharashtra,309.58,0,0,0,58.69804773915669,11.801320281201562,-0.6990983792988081,-1
102068,Coal,Unknown Agency,Maharashtra,198.71,0,0,1,32.27821858757633,15.350062489097343,16.095618986209875,18
102069,Coal,Unknown Agency,Maharashtra,360.81,0,0,0,56.52961869170892,10.402532708576423,1.0684515812588002,-1
102070,Coal,Unknown Agency,Maharashtra,497.41,0,0,0,50.7304575486113,8.191922892591105,-0.20442022115409664,2
102071,Coal,Unknown Agency,Maharashtra,184.71,0,0,0,26.002492208604842,11.197109729240395,-0.7853728958231545,-1
102072,Coal,Unknown Agency,Maharashtra,1225.21,0,0,1,258.05890722895293,14.485608159666189,30.544048478571714,16
102073,Coal,Unknown Agency,Maharashtra,973.07,0,0,0,111.92564196281342,14.577124172640431,0.696655615946665,0
102074,Coal,Unknown Agency,Maharashtra,405.2,1,0,1,23.636382983664138,3.5452483568609843,58.143343757365315,57
102075,Coal,Unknown Agency,Maharashtra,1024.91,0,1,0,254.25646712674734,10.088888462687633,20.360678232538675,22
102076,Coal,Unknown Agency,Maharashtra,319.75,1,0,1,91.27983210246089,10.456167404576647,55.87636813253708,28
102077,Coal,Unknown Agency,Maharashtra,237.06,0,0,1,37.11200311241704,13.804593736891189,20.56347529483123,9
102078,Coal,Unknown Agency,Maharashtra,235.9,1,0,0,38.845505922600694,12.973731059274733,35.619979333644565,24
102079,Coal,Unknown Agency,Maharashtra,316.0,0,0,0,11.609392761300398,5.269152279521435,0.4753056464403622,0
102080,Coal,Unknown Agency,Maharashtra,668.54,1,0,0,72.69264202793761,16.806601692275947,27.806590236546885,23
102081,Coal,Unknown Agency,Maharashtra,379.3,0,0,1,90.16635985916272,12.312449785081256,12.953731521845718,17
102082,Coal,Unknown Agency,Maharashtra,630.37,0,0,0,31.06451815221226,10.143320305852313,4.7746023963957285,1
102083,Coal,Unknown Agency,Maharashtra,444.42,0,0,0,71.56940619392293,12.745787707965412,4.068585151569602,-1
102084,Coal,Unknown Agency,"Madhya Pradesh, Uttar Pradesh",836.42,1,0,1,156.67582696847177,13.373026815239697,58.186989082219654,39
102085,Coal,Unknown Agency,"Madhya Pradesh, Uttar Pradesh",491.67,1,0,0,76.68241698070102,9.870974483835035,32.57605514780435,12
102086,Coal,Unknown Agency,Odisha,1693.81,0,0,0,77.89255042312811,6.9202822497634315,3.0368534330078267,3
102087,Coal,Unknown Agency,Odisha,5194.95,1,0,0,434.4383624237083,1.338362229405872,47.07096973202686,37
102088,Coal,Unknown Agency,Odisha,3504.21,0,0,0,278.10696438522837,9.77095482044092,1.860578830849985,2
102089,Coal,Unknown Agency,Odisha,8416.19,1,1,0,522.3397099118031,2.039844196828754,26.468614665455377,30
102090,Coal,Unknown Agency,Odisha,2434.75,0,0,0,284.17567717004795,11.542591672068028,1.2885189150264456,0
102091,Others,Unknown Agency,Odisha,2838.86,0,0,1,747.5097556077735,11.163120853995999,27.75549466157512,16
102092,Coal,Unknown Agency,Odisha,479.15,0,0,1,78.6172413525838,5.099790390471716,14.56423864347143,16
102093,Coal,Unknown Agency,Odisha,494.3,0,0,0,25.47076559723189,9.494918870852658,0.9779889029386246,0
102094,Coal,Unknown Agency,Odisha,3563.5,0,0,1,461.75192165286677,12.279609799330657,20.874906755163856,22
102095,Others,Unknown Agency,Odisha,5366.27,0,0,0,1147.6478871493969,10.048925878322535,-0.002251939376190837,-1
102096,Coal,Unknown Agency,Odisha,1561.85,1,0,0,319.51140398522637,9.091020924239647,41.74727477390294,34
102097,Coal,Unknown Agency,Odisha,978.44,1,0,0,170.18566329668113,16.9919867858616,42.11369756282944,37
102098,Coal,Unknown Agency,Odisha,522.45,0,1,0,57.61922919534524,6.4451225580899685,21.229707214418514,23
102099,Others,Unknown Agency,Telangana,297.88,0,0,1,61.18142015544643,12.84290818215959,28.20910609741656,10
102100,Coal,Unknown Agency,Telangana,384.32,0,0,1,62.040562619419575,13.66528619450925,13.612086055064875,12
102101,Others,Unknown Agency,Telangana,607.04,0,0,0,77.25662255981793,15.240227130682339,-1.3723286076129593,0
102102,Coal,Unknown Agency,Telangana,424.81,0,0,0,36.44334538784676,13.056124929579461,3.337219442874817,0
102103,Coal,Unknown Agency,Telangana,345.6,0,0,1,66.50118984389182,10.08794185492102,32.994115438218074,12
102104,Others,Unknown Agency,Telangana,484.5,0,0,1,112.32513929595919,16.418241077413512,27.53868774222318,7
102105,Coal,Unknown Agency,Telangana,442.42,0,0,0,26.832667772570403,5.001570527301681,-1.8338753676650066,-1
102106,Coal,Unknown Agency,West Bengal,888.99,0,0,1,157.80775767235323,10.230625814400405,12.9749836039601,16
102107,Coal,Unknown Agency,West Bengal,570.11,0,0,0,70.09388573298963,12.074230402887856,-0.9824452299916073,-1
102108,Others,Unknown Agency,West Bengal,502.68,0,0,0,77.06335438321123,8.354910869275335,1.8062647349187215,2
102109,Coal,Unknown Agency,West Bengal,535.18,0,0,0,72.255881528759,14.961957998394084,1.5494964889672591,3
102110,Coal,Unknown Agency,West Bengal,749.08,0,0,0,104.73163718886488,9.861958663024701,-0.30119826035995323,1
102111,Coal,Unknown Agency,West Bengal,1210.12,0,1,0,276.13599129429923,12.520191750076528,12.4405023910628,9
102112,Coal,Unknown Agency,West Bengal,5365.88,0,1,0,738.6922984262033,10.998003627847652,17.63643979303163,9
102113,Coal,Unknown Agency,West Bengal,384.57,0,0,0,16.402537464378895,6.56961754500567,-0.4572088569072923,-1
102114,Coal,Unknown Agency,West Bengal,929.1,0,0,0,127.83178442326326,13.04529034186588,3.849717207228583,1
102115,Coal,Unknown Agency,West Bengal,483.65,0,0,1,81.56455306285574,15.567184014759377,14.321185178580986,16
102116,Coal,Unknown Agency,West Bengal,389.1,0,0,0,51.726000950673736,10.953200359372989,4.096613039398598,-1
102117,Electricity Generation,Unknown Agency,West Bengal,1193.55,0,1,0,169.8883465448735,10.109783574336916,17.13676064583236,24
102118,Electricity Generation,Unknown Agency,Gujarat,383.84,0,0,0,13.982132001842047,7.378069750360211,-0.9580057635542345,0
102119,Others,Unknown Agency,Gujarat,3335.85,0,0,1,221.7849918849841,9.97522040094975,19.256831166893484,18
102120,Others,Unknown Agency,Gujarat,1221.41,0,0,1,210.3018019166384,10.63323781119201,23.889152605489226,13
102121,Electricity Generation,Unknown Agency,Gujarat,480.68,0,0,0,40.51006804263312,12.074116319549518,2.024118548029678,3
102122,Others,Unknown Agency,Odisha,27212.96,0,0,0,3330.210378259704,11.37609603118338,0.27770422761441615,-1
102123,Electricity Generation,Unknown Agency,Rajasthan,1813.0,0,0,0,322.3076395769117,8.773717974959155,-0.38351972537836887,0
102124,Coal,Unknown Agency,Rajasthan,4147.07,1,0,0,822.7131249642299,10.51790775228923,35.805952741289936,38
102125,Electricity Generation,Unknown Agency,Tamil Nadu,218.03,0,0,1,33.56271652181732,10.923031274359879,21.62812826727818,17
102126,Railways,Unknown Agency,Uttar Pradesh,17237.8,0,0,0,994.6045762474478,6.779217797088805,-1.6514503191041856,1
102127,Others,Unknown Agency,Chhattisgarh,1686.22,1,0,0,406.45605525316523,15.65393698829105,43.466402935427396,31
102128,Coal,Unknown Agency,Jharkhand,1799.64,0,0,0,97.30227940429177,10.125415101324094,2.2506117580692475,2
102129,Coal,Unknown Agency,Jharkhand,1581.0,0,0,0,206.53887452988698,12.58268302714216,0.07757380808012204,2
102130,Electricity Generation,Unknown Agency,Jharkhand,502.0,0,0,0,21.87686865767091,4.386766904170145,-1.710883005991487,-1
102131,Electricity Generation,Unknown Agency,Arunachal Pradesh,31876.39,1,0,0,6680.0317873045715,15.915079737251162,19.873873316868263,16
102132,Electricity Generation,Unknown Agency,Arunachal Pradesh,1938.85,0,0,0,316.35830481964854,8.131309603343759,-1.1463988567185266,2
102133,Electricity Generation,Unknown Agency,Arunachal Pradesh,1750.07,0,0,0,101.06053737958291,9.506376723155299,2.466799376371588,-1
102134,Electricity Generation,Unknown Agency,Arunachal Pradesh,8146.21,0,0,0,1565.1716180017975,9.417674842634625,-0.24235053298572917,0
102135,Electricity Generation,Unknown Agency,Arunachal Pradesh,14105.83,0,0,0,816.2544279506892,5.312407247068691,3.7076325315208196,3
102136,Electricity Generation,Unknown Agency,Bihar,10439.09,1,1,0,1756.9406965950034,6.03438843539066,37.691862855631754,43
102137,Electricity Generation,Unknown Agency,Bihar,29948.0,1,0,0,5500.647890653016,8.501934402236738,19.361317975714904,37
102138,Electricity Generation,Unknown Agency,Chhattisgarh,15530.0,0,0,0,973.9261979734983,4.057714775942429,-1.0554996942738628,2
102139,Electricity Generation,Unknown Agency,Chhattisgarh,9791.0,0,0,0,1585.8736658468529,10.653800687981693,2.664008597493292,2
102140,Electricity Generation,Unknown Agency,Gujarat,339.35,0,0,0,63.59830321834596,13.538450665435938,0.3236121843444093,2
102141,Electricity Generation,Unknown Agency,Himachal Pradesh,687.97,0,0,0,98.90819782714021,14.592948909263612,3.2788608519003137,1
102142,Electricity Generation,Unknown Agency,Himachal Pradesh,1810.56,0,0,0,133.62836806830956,9.243984167251938,0.12252045299705694,3
102143,Electricity Generation,Unknown Agency,Himachal Pradesh,2614.51,0,0,0,412.08083698928965,9.111092237692464,4.11172984209455,2
102144,Electricity Generation,Unknown Agency,Delhi,8112.12,0,1,0,1264.8813396394175,9.89777519671088,12.48517333177599,16
102145,Electricity Generation,Unknown Agency,Delhi,4287.59,0,0,1,294.94863572922316,6.138214460729204,22.49337240194477,13
102146,Electricity Generation,Unknown Agency,Delhi,5281.94,0,0,1,995.5888683356698,12.253149632347458,23.549212061540942,11
102147,Electricity Generation,Unknown Agency,Delhi,4526.12,0,0,0,649.5363478757931,17.03571108574353,0.6843933269195226,0
102148,Electricity Generation,Unknown Agency,Jharkhand,18668.0,0,0,0,3068.5385099332816,12.244625024281916,3.541005562950753,1
102149,Electricity Generation,Unknown Agency,Jharkhand,14358.0,0,0,0,1799.1200021867671,13.111147109868597,4.157388214517315,-1
102150,Electricity Generation,Unknown Agency,Madhya Pradesh,20446.0,1,1,0,3306.797085290509,9.144425298847219,31.4480513969888,55
102151,Electricity Generation,Unknown Agency,"Arunachal Pradesh, Assam",6285.33,0,0,0,276.35987129703335,3.7185876695315585,0.18805105049481696,0
102152,Electricity Generation,Unknown Agency,Odisha,11843.75,0,0,0,1664.5184002263159,12.689661573488298,3.4790253316449284,1
102153,Electricity Generation,Unknown Agency,Odisha,11131.0,0,1,0,1492.5602334998716,12.407795920358648,13.61840104293826,15
102154,Electricity Generation,Unknown Agency,Sikkim,5748.04,0,0,0,272.98349901497295,5.979260484593041,4.242849698795286,2
102155,Electricity Generation,Unknown Agency,Sikkim,938.29,0,0,0,80.002395957467,9.904571877436261,0.6743993361277587,0
102156,Electricity Generation,Unknown Agency,Uttar Pradesh,17195.0,0,0,0,2213.5245909311816,12.51322520811722,3.446932853864454,2
102157,Electricity Generation,Unknown Agency,Uttarakhand,2978.0,0,0,1,382.5685040099379,13.825412697178287,15.468963617098122,17
102158,Electricity Generation,Unknown Agency,Uttarakhand,3860.35,0,0,0,236.67626820043006,10.087271315628655,-1.5018313743648206,2
102159,Electricity Generation,Unknown Agency,West Bengal,17673.0,0,0,0,808.3448488314716,3.944643343215631,2.9527056444802513,-1
102160,Water Resources,Unknown Agency,West Bengal,1381.84,1,0,0,175.85886371493734,8.810920944295304,35.41416620295318,21
102161,Transmission & Distribution,Unknown Agency,West Bengal,1037.0,0,0,0,90.12456319068303,11.068913170340586,1.9342607537337733,-1
102162,Transmission & Distribution,Unknown Agency,Andhra Pradesh,823.0,0,0,0,101.01579793507904,10.093090246397459,-0.2581825492023049,1
102163,Transmission & Distribution,Unknown Agency,Andhra Pradesh,2886.0,0,0,0,193.52291684689726,7.1663277197745,-1.4751685568814832,0
102164,Transmission & Distribution,Unknown Agency,Arunachal Pradesh,209.38,0,0,0,40.18472354812834,11.743058781099446,1.3402137206546119,-1
102165,Transmission & Distribution,Unknown Agency,Delhi,284.0,0,0,0,31.425360331874543,9.609000330457476,4.825388962398728,0
102166,Transmission & Distribution,Unknown Agency,Gujarat,4231.0,0,0,0,508.40157646921284,7.5784820234718495,1.4275815490218653,-1
102167,Transmission & Distribution,Unknown Agency,Gujarat,697.0,0,0,1,173.8906039279807,10.711285660568045,22.96704489513007,15
102168,Transmission & Distribution,Unknown Agency,Gujarat,329.0,0,0,0,57.72071697715673,17.01554043629917,-1.6493358727789742,3
102169,Transmission & Distribution,Unknown Agency,Gujarat,501.0,0,0,1,127.75762433136373,10.99243890601413,27.127538895051398,15
102170,Transmission & Distribution,Unknown Agency,Gujarat,4766.0,0,1,0,632.4292342679819,9.230443398615378,20.157392305533346,9
102171,Transmission & Distribution,Unknown Agency,Gujarat,466.0,0,0,1,73.98893385360418,15.876805405981433,25.100317268715333,13
102172,Transmission & Distribution,Unknown Agency,Gujarat,172.0,0,0,0,26.41089155531874,11.412099762481702,0.02953537983591037,3
102173,Transmission & Distribution,Unknown Agency,Gujarat,488.29,0,0,0,94.98549291741699,14.555310644659897,0.47100653645614576,3
102174,Transmission & Distribution,Unknown Agency,Gujarat,4000.0,0,1,1,484.9262265303312,7.994574177948081,24.53103989830825,24
102175,Transmission & Distribution,Unknown Agency,Gujarat,581.74,1,0,0,90.32347171158526,8.955169356133243,48.882569658365085,21
102176,Transmission & Distribution,Unknown Agency,Gujarat,19000.0,0,0,0,3349.6725443603746,11.940386049955737,-0.23381741468664208,0
102177,Transmission & Distribution,Unknown Agency,Gujarat,319.42,0,0,0,47.46180249215516,10.439425312173917,-0.9555740512085906,0
102178,Transmission & Distribution,Unknown Agency,Gujarat,4500.0,1,0,0,844.6982998357761,5.791828887345416,45.78216522212232,18
102179,Transmission & Distribution,Unknown Agency,Delhi,218.6,0,0,0,11.700261855874231,12.03522883760322,4.984740771364284,2
102180,Transmission & Distribution,Unknown Agency,Jharkhand,1842.25,1,0,0,416.60190495544816,10.688402482429268,36.30583059984909,12
102181,Transmission & Distribution,Unknown Agency,Karnataka,4445.0,0,0,0,705.1331022926547,12.207107503017141,-1.2847719966941697,1
102182,Transmission & Distribution,Unknown Agency,Karnataka,1354.0,0,0,0,215.2178294311832,13.177673434599498,1.1927378075986494,2
102183,Transmission & Distribution,Unknown Agency,Karnataka,288.0,1,0,1,79.77400493137065,7.100791263910928,77.123424895772,44
102184,Transmission & Distribution,Unknown Agency,Karnataka,3453.0,0,0,1,477.0825881863075,10.639154360728497,12.747059170173904,19
102185,Transmission & Distribution,Unknown Agency,Karnataka,379.0,0,1,1,36.58012351770165,7.708360996340314,26.0240581137676,35
102186,Transmission & Distribution,Unknown Agency,Karnataka,1111.0,0,1,0,59.14833555623207,8.598180412090127,8.3704517181471,10
102187,Transmission & Distribution,Unknown Agency,Kerala,173.14,1,0,0,3.1951200427756703,2.7935793539846374,25.143159038143917,38
102188,Transmission & Distribution,Unknown Agency,Madhya Pradesh,3674.0,0,0,0,732.2654554725268,14.808269676584779,-1.6598707226791194,-1
102189,Transmission & Distribution,Unknown Agency,Madhya Pradesh,2708.0,0,1,1,548.1324533530569,15.225044571021094,40.92095818257672,39
102190,Transmission & Distribution,Unknown Agency,Madhya Pradesh,370.0,0,0,0,47.06637787839691,10.811899717694871,-1.7053951299614303,2
102191,Transmission & Distribution,Unknown Agency,Madhya Pradesh,558.0,0,0,0,44.202272443036236,12.37810200073983,-1.4561302428854708,-1
102192,Transmission & Distribution,Unknown Agency,Madhya Pradesh,319.0,1,0,0,69.20511471175305,11.219243263200866,27.207211501973383,17
102193,Transmission & Distribution,Unknown Agency,Madhya Pradesh,3125.32,0,0,0,566.2175303986057,10.586699971463744,-0.6537763217324035,0
102194,Transmission & Distribution,Unknown Agency,Maharashtra,224.41,0,0,0,11.746410026299458,7.713156492105853,3.351854033160241,-1
102195,Transmission & Distribution,Unknown Agency,Maharashtra,2000.0,1,0,0,184.41747292112268,13.02655549030461,33.138898332420084,23
102196,Transmission & Distribution,Unknown Agency,Maharashtra,1420.0,0,1,1,256.48751431408186,15.124558565814908,24.54021939687266,18
102197,Transmission & Distribution,Unknown Agency,"Andhra Pradesh, Karnataka",5550.0,0,1,0,941.1725782672347,9.157568890646338,16.700662976362995,18
102198,Transmission & Distribution,Unknown Agency,"Andhra Pradesh, Karnataka",4535.99,0,0,0,926.8388027361984,11.935081656486773,1.9490626188359506,-1
102199,Transmission & Distribution,Unknown Agency,"Andhra Pradesh, Odisha",2722.5,0,0,0,361.8026491004207,9.219920101196124,2.064114738591515,1
